W. B-PER O
JAMES I-PER O

Willian B-PER B-PER
James I-PER I-PER

Willian B-PER B-PER
James I-PER I-PER
, O O
filósofo O O
e O O
psicólogo O O
. O O

Foi O O
o O O
mais O O
influente O O
de O O
os O O
pensadores O O
de O O
os O O
EUA B-LOC B-LOC
, O O
criador O O
de O O
o O O
pragmatismo O O
. O O

Nasceu O O
e O O
, O O
Nova B-LOC B-LOC
Iorque I-LOC I-LOC
, O O
a O O
11 B-TMP B-TMP
de I-TMP I-TMP
Janeiro I-TMP I-TMP
de I-TMP I-TMP
1842 I-TMP I-TMP
. O O

O O O
seu O O
pai O O
, O O
Henru B-PER B-PER
James I-PER I-PER
, O O
era O O
um O O
teólogo O O
seguidor O O
de O O
Emanuel O B-PER
Swedenborg O I-PER
. O O

Um O O
de O O
os O O
seus O O
irmãos O O
foi O O
o O O
conhecido O O
novelista O O
Henry B-PER B-PER
James I-PER I-PER
. O O

Concluiu O O
os O O
seus O O
estudos O O
de O O
medicina O O
, O O
em O O
1870 B-TMP B-TMP
, O O
em O O
a O O
Universidade B-ORG B-ORG
de I-ORG I-ORG
Harvard I-ORG I-ORG
, O O
onde O O
iniciou O O
a O O
sua O O
carreira O O
como O O
professor O O
de O O
fisiologia O O
em O O
1872 B-TMP B-TMP
. O O

A O O
partir O O
de O O
1880 B-TMP B-TMP
ensinou O O
psicologia O O
e O O
filosofia O O
em O O
Harvard B-ORG B-LOC
, O O
universidade O O
que O O
abandonou O O
em O O
1907 B-TMP B-TMP
, O O
proferindo O O
conferências O O
em O O
as O O
universidades O O
de O O
Columbia B-ORG O
e O O
Oxford B-ORG O
. O O

Morreu O O
em O O
Chocorua B-LOC B-LOC
, O O
New B-LOC O
Hampshire I-LOC O
, O O
a O O
26 B-TMP B-TMP
de I-TMP I-TMP
Agosto I-TMP I-TMP
de I-TMP I-TMP
1910 I-TMP I-TMP
. O O

Princípios O O
de O O
Psicologia O O
( O O
1890 B-TMP B-TMP
) O O
, O O
uma O O
obra O O
monumental O O
que O O
o O O
projectou O O
em O O
a O O
comunidade O O
científica O O
e O O
filosófica O O
de O O
o O O
tempo O O
. O O

A O O
Vontade O O
de O O
Crer O O
e O O
Outros O O
Ensaios O B-ORG
Sobre O I-ORG
Filosofia O I-ORG
Popular O I-ORG
( O O
1897 B-TMP B-TMP
) O O
, O O
A O O
Imortalidade O O
Humana O O
( O O
1898 B-TMP B-TMP
) O O
, O O
Diversidade O O
da O O
Experiência O B-PER
Religiosa O I-PER
( O O
1902 B-TMP B-TMP
) O O
. O O

Pragmatismo O O
: O O
um O O
nome O O
novo O O
para O O
velhas O O
formas O O
de O O
pensar O O
( O O
1907 B-TMP B-TMP
) O O
. O O

Esta O O
obra O O
resume O O
as O O
contribuições O O
de O O
Willian B-PER B-PER
James I-PER I-PER
para O O
o O O
pragmatismo O O
, O O
termo O O
empregue O O
por O O
a O O
primeira O O
vez O O
por O O
Charles B-PER B-PER
Peirce I-PER I-PER
. O O

Principais O O
Domínios O O
de O O
Investigação O O

Willian B-PER B-PER
James I-PER I-PER
aplica O O
A O O
A O O
psicologia O O
o O O
princípio O O
de O O
o O O
funcionalismo O O
, O O
integrando O O
- O O
a O O
em O O
o O O
conjunto O O
de O O
as O O
ciências O O
experimentais O O
. O O

Durante O O
décadas O O
aplicou O O
os O O
seus O O
métodos O O
empíricos O O
A O O
A O O
investigação O O
de O O
temas O O
religiosos O O
e O O
filosóficos O O
. O O

Explorou O O
a O O
questão O O
de O O
a O O
existência O O
de O O
Deus B-PER B-PER
, O O
a O O
imortalidade O O
de O O
a O O
alma O O
, O O
o O O
livre O O
arbítrio O O
e O O
os O O
valores O O
éticos O O
, O O
como O O
fonte O O
de O O
a O O
experiência O O
religiosa O O
e O O
moral O O
. O O

O O O
método O O
pragmático O O
, O O
desenvolvido O O
a O O
partir O O
de O O
a O O
análise O O
de O O
o O O
fundamento O O
lógico O O
de O O
as O O
ciências O O
, O O
converte O O
- O O
se O O
em O O
a O O
base O O
de O O
a O O
avaliação O O
de O O
qualquer O O
experiência O O
. O O

O O O
significado O O
de O O
as O O
ideias O O
só O O
pode O O
ser O O
analisado O O
a O O
partir O O
de O O
as O O
suas O O
consequências O O
. O O

Se O O
não O O
produzem O O
efeitos O O
as O O
ideias O O
não O O
têm O O
sentido O O
As O O
ideias O O
metafisicas O O
são O O
desprovidas O O
de O O
sentido O O
porque O O
não O O
podem O O
ser O O
comprovadas O O
. O O

As O O
teorias O O
com O O
significado O O
, O O
segundo O O
Willian B-PER B-PER
James I-PER I-PER
, O O
são O O
aquelas O O
que O O
permitem O O
resolver O O
problemas O O
que O O
decorrem O O
de O O
a O O
experiência O O
. O O

Carlos B-PER B-PER
Fontes I-PER I-PER

Navegando O O
em O O
a O O
Filosofia O O

Um O O
pouco O O
de O O
HISTÓRIA O O

Em O O
o O O
passado O O
dia O O
7 B-TMP B-TMP
de I-TMP I-TMP
Dezembro I-TMP I-TMP
, O O
os O O
alunos O O
de O O
o O O
1º B-PER B-VAL
Ciclo I-PER I-ORG
do I-PER I-ORG
Ensino I-PER I-ORG
Básico I-PER I-ORG
da I-PER I-ORG
Escola I-PER I-ORG
de I-PER I-ORG
Codeçoso I-PER I-ORG
, O O
sob O O
a O O
orientação O O
de O O
a O O
professora O O
, O O
em O O
o O O
âmbito O O
de O O
o O O
concurso O O
promovido O O
por O O
a O O
Biblioteca B-ORG B-ORG
Municipal I-ORG I-ORG
de I-ORG I-ORG
Montalegre I-ORG I-ORG
, O O
decidiram O O
entrevistar O O
um O O
par O O
de O O
idosos O O
de O O
o O O
lugar O O
de O O
Codeçoso B-LOC O
, O O
fregueisa O O
de O O
a O O
Venda B-LOC O
Nova I-LOC O
, O O
sobre O O
o O O
Natal B-TMP B-TMP
de O O
os O O
seus O O
tempos O O
de O O
juventude O O
, O O
assim O O
como O O
algumas O O
recordações O O
que O O
lhes O O
deixaram O O
saudade O O
. O O

Trata O O
- O O
se O O
de O O
a O O
senhora O O
Teresa B-PER O
Gonçalves I-PER O
Bastos I-PER O
, O O
de O O
88 B-VAL B-VAL
anos I-VAL I-VAL
e O O
de O O
o O O
senhor O O
António B-PER B-PER
Gonçalves I-PER I-PER
Bastos I-PER O
de O O
90 B-VAL B-VAL
anos I-VAL I-VAL
. O O

Mónica B-PER O
: O O
- O O
Será O O
que O O
podiam O O
conversar O O
um O O
pouco O O
connosco O O
? O O

D. B-PER O
Teresa I-PER O
: O O
- O O
" O O
Antão O O
" O O
não O O
haveríamos O O
de O O
querer O O
conversar O O
com O O
estes O O
três O O
meninos O O
tão O O
azadinhos O O
e O O
com O O
a O O
senhora O O
professora O O
. O O

Mónica B-PER O
: O O
- O O
Lembra O O
- O O
se O O
como O O
festejava O O
o O O
Natal B-TMP O
antigamente O O
? O O

D. B-PER O
Teresa I-PER O
: O O
- O O
Se O O
lembro O O
! O O

Até O O
me O O
dão O O
saudades O O
! O O

Mónica B-PER O
:- O O
O O O
que O O
